total_processed,input_rate,image_quality,file_size(kB),current_model,total_conf,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_time,start_time,absolute_time
49,3.246381448799643,100,7448.131,yolov5n,0,0.5912282400661044,0,10.791537,14.1,0.209406041,0.2091836929321289,200.51063013076782,69.85572838783264
50,3.521635114060424,100,7448.131,yolov5n,0,0.5912282400661044,0,9.789587,13.2,0.20971403700000002,0.2094874382019043,200.8439221382141,70.86009907722473
51,3.5094579450929153,100,7448.131,yolov5s,0,0.5912282400661044,0,10.172764,13.8,0.208897791,0.20868349075317383,201.05931162834167,71.87117648124695
52,3.490210818839491,100,12737.638,yolov5m,31.500484615564346,0.5431118037166267,58,11.608247,12.7,0.24389332,0.24363350868225098,201.3302984237671,73.44542288780212
53,3.4043060278574826,100,7448.131,yolov5l,0,0.5431118037166267,0,10.757846,13.9,0.224109696,0.22391152381896973,201.07379627227783,74.50475549697876
54,3.637366799233691,100,7448.131,yolov5m,0,0.5431118037166267,0,10.948031,13.7,0.215343973,0.2151186466217041,201.38408875465393,75.51769948005676
55,3.8611271763323978,100,12737.638,yolov5x,28.71218791604042,0.5521574599238542,52,12.770414,13.4,0.266489898,0.266298770904541,202.23286366462708,77.12654447555542
56,3.5152557631323553,100,12737.638,yolov5n,19.20465835928917,0.45725377045926596,42,11.550691,13.3,0.24148513800000002,0.2412731647491455,202.63054394721985,78.75244450569153
57,3.4013459912088364,100,7448.131,yolov5m,0,0.45725377045926596,0,11.723664,13.6,0.21527089000000002,0.21509099006652832,202.65064477920532,79.80207824707031
58,3.647598882944463,100,11041.687,yolov5s,1.2377407550811768,0.3094351887702942,4,11.117037,14.1,0.239829967,0.23961639404296875,202.89564657211304,81.19209384918213
59,3.595497568076191,100,12737.638,yolov5m,31.500484615564346,0.5431118037166267,58,11.944427,12.7,0.247289023,0.24710392951965332,202.96159768104553,82.80326008796692
60,3.673374232998803,100,12737.638,yolov5s,24.017121732234955,0.49014534147418276,49,11.245332,13.3,0.242991511,0.24278020858764648,203.41403150558472,84.43171095848083
61,3.793655074703461,100,12737.638,yolov5l,25.44600060582161,0.5531739262135132,46,11.689545,12.2,0.256573555,0.25638270378112793,203.9066960811615,86.04412484169006
62,3.847957769102884,100,9659.386,yolov5n,0,0.5531739262135132,0,9.943151,12.5,0.221001637,0.22081875801086426,203.6238911151886,87.33544063568115
63,3.5266637723578462,100,12737.638,yolov5l,25.44600060582161,0.5531739262135132,46,12.105438,12.9,0.260093716,0.2598686218261719,204.01440930366516,88.91888308525085
64,3.734763804529005,100,11041.687,yolov5x,3.1298563480377197,0.44712233543395996,7,11.693756,12.4,0.25603587899999997,0.25582242012023926,203.7372181415558,90.39423871040344
65,3.7667007697511012,100,7448.131,yolov5l,0,0.44712233543395996,0,10.77048,11.9,0.22477903500000002,0.22450947761535645,203.50879645347595,91.4335105419159
66,3.3360467392715423,100,7448.131,yolov5l,0,0.44712233543395996,0,10.287511,12.9,0.220150904,0.21995186805725098,203.757408618927,92.44002056121826
67,3.406321809040163,100,12960.137,yolov5l,6.933388590812683,0.7703765100902982,9,9.761022,11.8,0.272552823,0.27234411239624023,204.49723982810974,94.05744194984436
68,3.3007516003512403,100,12960.137,yolov5m,6.568050026893616,0.6568050026893616,10,8.638162,12.5,0.253334307,0.25314903259277344,203.90206861495972,95.81815361976624
69,3.5094441267300946,100,9730.288,yolov5n,5.32105416059494,0.5912282400661044,9,8.079142,14.8,0.241152641,0.24094247817993164,204.11454701423645,97.25008273124695
70,3.4943612637833903,100,12960.137,yolov5m,6.568050026893616,0.6568050026893616,10,8.814064,12.2,0.253287241,0.25307416915893555,204.62618589401245,98.95836687088013
71,3.730032015337702,100,7448.131,yolov5n,0,0.6568050026893616,0,8.727029,13.1,0.23367233499999998,0.23347854614257812,203.83613300323486,100.0660011768341
72,3.669929835201063,100,13627.535,yolov5l,4.540237367153168,0.7567062278588613,6,9.428687,18.6,0.274795049,0.27458620071411133,204.97094798088074,102.0627806186676
