total_processed,input_rate,image_quality,file_size(kB),current_model,total_conf,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_time,start_time,absolute_time
64,3.734763804529005,100,7448.131,yolov5m,0,0.5431118037166267,0,11.229036,12.6,0.225968418,0.22105836868286133,236.21063423156738,89.19523334503174
65,3.7667007697511012,100,7448.131,yolov5m,0,0.5431118037166267,0,11.406587,13.4,0.225198446,0.22014904022216797,236.48506236076355,90.23344588279724
66,3.3360467392715423,100,7448.131,yolov5m,0,0.5431118037166267,0,12.634734,13.4,0.232344217,0.22777509689331055,236.71040320396423,91.245281457901
67,3.406321809040163,100,7448.131,yolov5m,0,0.5431118037166267,0,11.557405,12.7,0.225884458,0.22119712829589844,235.8956184387207,92.25160479545593
68,3.3007516003512403,100,12737.638,yolov5n,19.20465835928917,0.45725377045926596,42,12.087677,12.8,0.245640291,0.24097132682800293,236.37381863594055,93.77785587310791
69,3.5094441267300946,100,12737.638,yolov5m,31.500484615564346,0.5431118037166267,58,12.80911,12.9,0.255229539,0.25038957595825195,236.821692943573,95.32628965377808
70,3.4943612637833903,100,12737.638,yolov5m,31.500484615564346,0.5431118037166267,58,12.96182,14.0,0.254133151,0.2481248378753662,236.41164779663086,96.90079593658447
71,3.730032015337702,100,12737.638,yolov5s,24.017121732234955,0.49014534147418276,49,16.794451,13.9,0.270775832,0.26506495475769043,236.69803547859192,98.46563291549683
72,3.669929835201063,100,7448.131,yolov5m,0,0.49014534147418276,0,11.214449,13.1,0.22541455400000002,0.2196791172027588,236.41772484779358,99.52256894111633
73,3.5761936962274214,100,7448.131,yolov5m,0,0.49014534147418276,0,13.457851,14.3,0.23820831099999998,0.23380208015441895,236.75573301315308,100.55140948295593
74,3.740330443330705,100,12960.137,yolov5s,3.6767377257347107,0.7353475451469421,5,13.669582,13.1,0.259619877,0.2544238567352295,237.37191128730774,102.07895612716675
75,3.8298341643940423,100,7448.131,yolov5s,0,0.7353475451469421,0,10.866,13.1,0.21789842,0.21334624290466309,236.82254242897034,103.12292337417603
76,3.3899121717579943,100,11041.687,yolov5s,1.2377407550811768,0.3094351887702942,4,12.468596,13.2,0.245669838,0.24068140983581543,237.41827201843262,104.46848011016846
77,3.302450833422063,100,9730.288,yolov5n,5.32105416059494,0.5912282400661044,9,11.992706,13.0,0.233341767,0.22853446006774902,237.72124671936035,105.72746324539185
78,3.2234888176846375,100,9730.288,yolov5n,5.32105416059494,0.5912282400661044,9,11.527863,12.9,0.230829551,0.2259659767150879,238.1562659740448,106.98422503471375
79,3.508459067148439,100,13627.535,yolov5m,6.351359784603119,0.6351359784603119,10,14.549645,13.9,0.27236834600000004,0.2674827575683594,238.84533786773682,108.62202739715576
80,3.585941226379346,100,9730.288,yolov5m,9.401154845952988,0.6267436563968658,15,11.487215,14.0,0.234508468,0.22983479499816895,238.93387413024902,109.91872239112854
81,3.1863317172563397,100,12737.638,yolov5m,31.500484615564346,0.5431118037166267,58,12.700162,12.7,0.254985462,0.24965381622314453,239.6096544265747,111.4613983631134
82,3.405837975400053,100,9730.288,yolov5s,6.712863773107529,0.6102603430097754,11,12.306671,13.0,0.238081547,0.23260951042175293,239.80513191223145,112.74077463150024
83,3.5232772275841047,100,9730.288,yolov5m,9.401154845952988,0.6267436563968658,15,12.062164,13.2,0.24122585800000002,0.23586106300354004,240.23991751670837,114.00642728805542
84,3.6093545685645925,100,9730.288,yolov5m,9.401154845952988,0.6267436563968658,15,11.858918,12.8,0.238880186,0.23355627059936523,240.62901973724365,115.24893736839294
85,3.519829521131416,100,9730.288,yolov5m,9.401154845952988,0.6267436563968658,15,11.922272,13.0,0.237845772,0.23224449157714844,241.06433582305908,116.51246476173401
86,3.382544085321295,100,9730.288,yolov5m,9.401154845952988,0.6267436563968658,15,12.249542,12.6,0.243071005,0.2375035285949707,241.49162530899048,117.75744724273682
87,3.4439819129072164,100,9730.288,yolov5m,9.401154845952988,0.6267436563968658,15,12.108062,13.9,0.239826729,0.2346031665802002,241.94188833236694,119.0184338092804
